Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Secret Agents: The Menace of Emerging Infections,"By Drexler, Madeline","Admitting that in fact there is no distinction between national and global threats from infectious agents, Boston-based medical journalist Drexler nevertheless focuses on the US to provide a local view of a universal and authentic peril. Her perspectives include winged victories, superbugs, the once and future pandemic, and bioterror. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Medical , Infectious Diseases",Joseph Henry Press,8.79,February,2002
"Guide to Your Child's Symptoms by the American Academy of Pediatrics:: The Official, Complete Home Reference, Birth Through Adolescence","By Schiff, Donald (EDT), Shelov, Steven P. (EDT), and American Academy of Pediatrics (COR)","When an infant or small child is ill, it is often very difficult for a parent to understand or diagnose the nature of the problem. Since babies can't articulate what ails them, in most cases all a parent has to go on is the symptom that the child exhibits.The American Academy of Pediatrics Guide to Your Child's Symptoms has been prepared by a team of the country's best pediatricians to enable a parent to quickly identify a symptom, learn its possible cause, and determine how best to proceed, whether it's taking action at home or calling the pediatrician immediately. The symptoms are listed alphabetically, and the text and illustrations that accompany each one are arranged in easy-to-follow charts. Unlike most child-care and parenting books, which are dense and text-heavy, this book lets a parent quickly assess the problem and decide what needs to be done for the child. The first of the book covers the 100 or so most common symptoms in A-Z format. The second part is an illustrated first-aid manual.The American Academy of Pediatrics is the most respected authority on child health in America, and the Guide to Your Child's Symptoms is an essential family reference that belongs in every household."," Medical , Pediatrics",Villard,5.82,September,2005
The Family Nutrition Book: Everything You Need to Know About Feeding Your Children - From Birth through Adolescence,"By Sears, Martha and Sears, William","Two leading childcare experts address children's nutritional needs, from birth through adolescence, by covering such topics as feeding a picky eater, reading labels and selecting healthy snacks, evaluating the school lunch program, discussing weight control, and much more. Simultaneous. 50,000 first printing."," Medical , Pediatrics","Little, Brown Spark",4.99,August,1999
Your Brain: The Missing Manual: The Missing Manual (Missing Manuals),"By MacDonald, Matthew","Puzzles and brain twisters to keep your mind sharp and your memory intact are all the rage today. More and more people -- Baby Boomers and information workers in particular -- are becoming concerned about their gray matter's ability to function, and with good reason. As this sensible and entertaining guide points out, your brain is easily your most important possession. It deserves proper upkeep.Your Brain: The Missing Manual is a practical look at how to get the most out of your brain -- not just how the brain works, but how you can use it more effectively. What makes this book different than the average self-help guide is that it's grounded in current neuroscience. You get a quick tour of several aspects of the brain, complete with useful advice about:Brain Food: The right fuel for the brain and how the brain commands hunger (including an explanation of the different chemicals that control appetite and cravings)Sleep: The sleep cycle and circadian rhythm, and how to get a good night's sleep (or do the best you can without it)Memory: Techniques for improving your recallReason: Learning to defeat common sense; logical fallacies (including tactics for winning arguments); and good reasons for bad prejudicesCreativity and Problem-Solving: Brainstorming tips and thinking not outside the box, but about the box -- in other words, find the assumptions that limit your ideas so you can break through themUnderstanding Other People's Brains: The battle of the sexes and babies developing brainsLearn about the built-in circuitry that makes office politics seem like a life-or-death struggle, causes you to toss important facts out of your memory if they're not emotionally charged, and encourages you to eat huge amounts of high-calorie snacks. With Your Brain: The Missing Manual you'll discover that, sometimes, you can learn to compensate for your brain or work around its limitations -- or at least to accept its eccentricities.Exploring your brain is the greatest adventure and biggest mystery you'll ever face. This guide has exactly the advice you need."," Medical , Neuroscience",O'Reilly Media,5.29,June,2008
Helping the Stork: The Choices and Challenges of Donor Insemination,"By Moss, Robert, Vercollone, Carol Frost, and Moss, Heidi","Helping the Stork The sourcebook for all the information parents-to-be need to know about the choices and challenges of donor insemination Each year donor insemination (DI) offers a pathway to parenthood for the hundreds of thousands who turn to family-building alternatives. Although DI is considered as often as adoption, couples facing male infertility, as well as single women and lesbian couples, have had few places to turn for information about this method, which has been shrouded in secrecy. In Helping the Stork, parents-to-be, as well as friends and family, doctors, and counselors, can explore the choices and challenges raised by this alternative to overcoming childlessness. This comprehensive handbook moves through each step of the process: reaching a solid decision about whether donor insemination is the best choice for a family's future; handling the difficult issue of privacy; selecting a donor and getting started; and learning to thrive as a family meeting DI's added challenges. Full of wisdom from medical and mental health experts, Helping the Stork is also enriched with stories from many families who share their insights and experiences. This book is a reassuring, supportive, and helpful guide that no one considering or going through the process of donor insemination should be without. Visit us online at http://www.mcp.com/mgr"," Medical , Reproductive Medicine & Technology",Wiley,5.31,October,1997
"Dr. Peter Scardino's Prostate Book: The Complete Guide to Overcoming Prostate Cancer, Prostatitis and BPH","By Kelman, Judith and Scardino, Peter T.","Although most men couldn't tell you what the prostate does, an overwhelming majority will be affected by prostate problems at some time in their lives. In his discussion of prostatitis and prostate enlargement (BPH), as well as prostate cancer, Dr. Peter Scardino carefully and clearly explains what can go wrong, how to prevent prostate trouble, and what to do if problems develop. Dr. Scardino has treated thousands of patients at one of the world's best research hospitals. He developed the innovative erectile-nervegrafting procedure that makes it possible for men with serious cancer to recover sexual function and mathematical tools (nomograms) patients and physicians can use to improve medical decision-making. Now men everywhere can access his years of expertise. Dr. Peter Scardino's Prostate Book will help them and their loved ones to:  - understand and interpret complicated test results - develop a customized action plan that suits individual needs - get the best care and ensure the best possible recovery from treatment - learn state-of-the-art strategies to prevent prostate diseases  This book covers everything a man needs to know about his prostate health-from how aging affects sexual intimacy to asking the right questions to choosing among available therapeutic options. Dr. Scardino discusses cutting-edge strategies, using the latest research findings to explore the many factors that affect patients, including possible complications and ways to minimize them.  One in six men in the United States will be diagnosed with cancer, and nearly half the adult male population will be affected by prostatitis. Dr. Peter Scardino's Prostate Book provides the hard facts and a compassionate voice to guide every man to health and healing. Illustrated throughout with line art by Frank Forney."," Medical , Urology",Avery,5.82,April,2005
100 Questions & Answers About Crohn's Disease and Ulcerative Colitis: A Lahey Clinic Guide,"By Warner, Andrew S., M.D. and Barto, Amy E., M.D.","Drawn from questions asked by their patients with inflammatory bowel disease--IBD is the collective term for Crohn's disease and ulcerative colitis, Drs. Warner and Barto (gastroenterologists with the Lahey Clinic, Burlington, Massachusetts) answer questions about concerns ranging from treatment options and diet to IBD in pregnancy and children. The guide includes patients' perspectives about coping with IBD, resources, and a glossary. Annotation ©2007 Book News, Inc., Portland, OR (booknews.com)"," Medical , Oncology , General",Jones & Bartlett Learning,5.29,September,2006
The Menopause Manager: A Safe Path for a Natural Change,"By Mayo, Mary Ann and Mayo, Joseph L.","A woman's guide to surviving menopause shows women how to manage this difficult transition, covering medical options, psychological health, risk factors, and much more. Original."," Medical , Gynecology & Obstetrics",Fleming H Revell Co,5.47,January,1998
Harrison's Manual of Medicine: 16th Edition,"By Braunwald, Eugene (EDT), Harrison, Tinsley Randolph (EDT), Fauci, Anthony S. (EDT), Kasper, Dennis L. (EDT), Hauser, Stephen L. (EDT), Longo, Dan L. (EDT), and Jameson, J. Larry, M.D., Ph.D. (EDT)","This pocket size (4.75x8.25"") reference presents key features of the diagnosis and treatment of major diseases encountered on a medical service, and is written for easy reference to the text Harrison's Principles of Internal Medicine. This 16th edition contains a new section on care of the hospitalized patient, and a new chapter on key concepts in radiographic imaging. There are three new chapters on the likely biological, chemical, and radiologic agents of terrorism, and there is revised material on management of common diseases. Kasper is professor of medicine at Harvard Medical School. Annotation ©2004 Book News, Inc., Portland, OR (booknews.com)"," Medical , Internal Medicine",McGraw-Hill Professional,5.29,February,2005
Defending the Cavewoman: And Other Tales of Evolutionary Neurology,"By Klawans, Harold","Noted neurologist Harold Klawans presents thirteen thought-provoking clinical tales describing a range of neurological problems and how he figured out what caused them.  Cases include a young girl with arrested language acquisition, a peculiar case of ""painful foot and moving toe syndrome,"" and an aphasic orchestra conductor. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Medical , Neurology",W W Norton & Co Inc,5.68,January,2000
Nursing Diagnosis Handbook: A Guide to Planning Care,"By Ackley, Betty J. and Ladwig, Gail B.","This bestselling reference helps users make nursing diagnoses and write care plans with ease and confidence. It helps nurses correlate nursing diagnoses with known information about clients on the basis of assessment findings, established medical or psychiatric diagnoses, and the current treatment plan. This extensively revised and updated edition presents the most up-to-date information on all 2005-2006 NANDA-approved nursing diagnoses. You'll also appreciate the handbook's integration of both the NIC and NOC taxonomies; evidence-based nursing interventions; home care; client/family teaching; and multicultural, geriatric, and pediatric considerations. Instructor resources are available; contact your sales representative for details.Helps users understand how to make a nursing diagnosis and plan care using the nursing process and evidence-based nursing research.The practical, step-by-step format helps users make diagnoses and write care plans with ease and confidence.Integrates both NIC and NOC interventions and outcomes in each care plan.Features essential home care, client/family teaching, multicultural, pediatric, and geriatric considerations relevant to today's nursing students.Helps users easily create customized plans of care using the Ackley, Ladwig Care Plan Constructor on the Evolve website.This edition has been extensively revised and updated to include the most up-to-date information on all 2005-2006 NANDA-approved nursing diagnoses.The new alphabetical thumb tabs offer easy access to specific nursing diagnosis care plans.Features a helpful explanation of how to use the Guide to Nursing Diagnoses and Guide to Planning Care sections.Features many enhancements to the accompanying Evolve website (see Ancillaries for details).Includes more detailed information about NOC and its use in nursing care planning.Guide to Nursing Diagnoses section features more emotional/spiritual elements and now includes coverage of Mad Cow, E. Coli, West Nile, Foodborne Illnesses, and Pesticide Contamination.Guide to Planning Care section now offers updated and expanded multicultural, pediatric, and evidence-based interventions/rationales.An appendix now includes Gordon's Functional Health Patterns, as adapted by the authors."," Medical , Diagnosis",Mosby,8.03,July,2005
A Manual of Laboratory and Diagnostic Tests,"By Fischbach, Frances Talaska and Dunning, Marshall Barnett, III","In full color for the first time, this leading comprehensive reference covers a broad range of laboratory and diagnostic tests and studies, grouped according to specimen and function/test type (e.g. blood, urine, stool, cerebrospinal fluid, etc.). Each test is described in detail, with step-by-step guidance on correct procedure and tips for accurate interpretation. A Brandon-Hill Recommended Title."," Medical , Diagnostic Imaging , General",Lippincott Williams & Wilkins,7.25,July,2003
Learning to Sit in the Silence: A Journal of Caretaking,"By Starkman, Elaine Marcus","The author shares her experiences caring for her elderly mother-in-law, and describes the impact of home care on the entire family"," Medical , Caregiving",Papier Mache Pr,5.29,November,1993
Monochrome Days: A First-Hand Account of One Teenager's Experience With Depression (Adolescent Mental Health Initiative),"By Andrews, Linda Wasmer, Evans, Dwight L., and Irwin, Cait","If you are one of the nearly twenty percent of adolescents who experience the symptoms of major depression before the end of high school, then you are probably already familiar with the sadness, isolation, and confusion that depression can bring. You may have questions about symptoms, medications, treatments, and how to deal with depression at school and at home. Monochrome Days: A Firsthand Account of One Teenager's Experience with Depression was written specifically for you.Cait Irwin was diagnosed with major depression at the age of fourteen, and she nearly lost her battle with the illness before she was able to receive the treatment she so desperately needed. In Monochrom Days, Irwin, now an adult and a successful artist, shares her experiences as a young woman who suffered from a crippling depression but was able to recover with the help of a supportive family and expert psychiatric care. In telling her remarkable story, Irwin and science writer Linda Andrews explain what is currently known about major depression in adolescents, demystifying the often confusing science behind the illness. In easy-to-understand language, the book also -Provides an accessible yet in-depth look at the causes, treatment, and management of depression -Discusses such difficult topics as psychiatric hospitalization and antidepressant medications -Offers tips on how to deal with depression both at school and at home, and how to talk about it to teachers, family, and friends Thoughtful, inspiring, and full of practical wisdom, Monochrome Days is both a compelling memoir and a useful resource that will help to ease the pain of major depression.  Cait Irwin's story is one that offers hope and guidance that you yourself can use to overcome the challenges of this illness, and go on to lead a healthy, productive life."," Medical , Pediatrics",Oxford University Press,4.99,April,2007
"Mosby's Medical, Nursing & Allied Health Dictionary","By Anderson, Kenneth N. (EDT)","The new edition of this best-selling dictionary offers readers maximum definition! Meticulously revised and updated to reflect all the changes in nursing and allied health today. Features over 3,000 new entries, more than 1,100 new illustrations, and a wealth of new appendices making this the most current, user-friendly dictionary available. With its large, easy-to-read typeface; strict alphabetical organization with no subentries; comprehensive definitions; detailed drug entries; and a Color Atlas of Human Anatomy, this dictionary offers easy access to comprehensive information.Meticulously revised and updated to reflect current health care practice, this bestselling dictionary gives students:   Over 3,000 new entries and a wealth of new appendices detailing the most complete, current information. Thousands of illustrations and full-color photographs that bring terminology to life. Large, user-friendly type that makes each entry easy to read and understand. Strict alphabetical organization with no subentries that enables students to quickly look up any medical word. Comprehensive definitions written in clear, understandable language. Detailed drug entries that spell out key facts on commonly prescribed medications. A Color Atlas of Human Anatomy that serves as a convenient, visual review of body structure. A FREE companion website with updates and weblinks.· Approximately 3,000 new definitions have been added, representing all areas of nursing, medicine, and allied health, with special emphasis on definitions related to alternative therapies, new drugs, allied health professions, and changing developments in health care delivery.  The selection of new entries was made based on the recommendations of our consultant board of more than 100 experts representing all disciplines and specialties· Existing entries have been reviewed for revision, and obsolete definitions have been deleted based on the recommendations of our consultant board.  More than 10,000 definitions have been revised· All nursing diagnosis entries have been updated to reflect changes in terminology and the new taxonomy approved for 2001-2002, and subheadings for defining characteristics and related factors have been added to these definitions· Definitions have been added for all current NIC (Nursing Interventions Classifications) interventions and NOC (Nursing Outcomes Classifications) interventions· All tables have been updated and More than 1,200 illustrations have been replaced and updated, with more than 100 new illustrations being created specially for the dictionary· New appendixes have been added covering alternative therapies; new nutritional information; completely new or updated drug information; the manual alphabet; poison centers; key organization contact information, including Internet resources; Nursing Outcomes Classification; Nursing Interventions Classification; NANDA; and the Omaha Systems Classification· Appendixes have been thoroughly revised, updated, and streamlined based on market research to focus on the resources of greatest value to readersIncludes a FREE Website at www.harcourthealth.com/MERLIN/Dictionary/Spanish version of 5th edition also available, ISBN: 84-8174-380-1"," Medical , Dictionaries & Terminology",Mosby,9.17,October,2001
And the Waters Turned to Blood,"By Barker, Rodney","In this account, Rodney Barker tells the full and terrifying story of a microorganism popping up along the Eastern seaboard - far closer to home than the Ebola virus and equally frightening.In the coastal waters of North Carolina - and now extending as far north as the Chesapeake Bay area - a mysterious and deadly aquatic organism named Pfiesteria piscicida threatens to unleash an environmental nightmare and human tragedy of catastrophic proportions.At the very center of this narrative is the heroic effort of Dr. JoAnn Burkholder and her colleagues, embattled and dedicated scientists confronting medical, political, and corporate powers to understand and conquer this new scourge before it claims more victims."," Medical , Toxicology",Simon & Schuster,5.29,March,1998
The Johns Hopkins Complete Home Encyclopedia of Drugs: Developed Especially for People over 50,"By Margolis, Simeon (EDT)","An encyclopedia of essential information on nearly every major prescription and over-the-counter medication available for consumer use, presenting basic facts in plain language. Each drug is covered in a one- or two-page profile, organized in alphabetical order by generic name. Entries give information on brand names, side effects, uses, dosage, onset and duration, and storage. Entries also briefly describe how the drug works, and give precautions on stopping the drug, prolonged use, and use by those over 60. Includes color photos, and an illustrated introduction on drugs and aging. Annotation c. by Book News, Inc., Portland, Or."," Medical , Pharmacology",REBUS,8.61,July,1998
Doing Things: A Guide to Programing Activities for Persons with Alzheimer's Disease and Related Disorders,"By Zgola, Jitka M.","Doing Things shows how to provide a positive environment for persons with Alzheimer's disease by offering opportunities for social interaction and constructive, enjoyable activities. Zgola outlines the ways in which a patient's functional impairment can be assessed; the strengths, weaknesses, and needs most commonly encountered among persons with Alzheimer's disease; and ways activities can be tailored to accommodate them. She offers step-by-step instructions for selecting and presenting appropriate activities and includes cooking and crafts projects, a sample exercise routine, and a sample daily schedule. The techniques she describes are designed to promote a sense of security and self-esteem, by avoiding possible sources of confusion or confrontation.Based on the highly successful program developed at one day-care facility for persons with dementia, Doing Things offers an invaluable guide for professionals and volunteers supervising activities at day-care centers and extended-care facilities—as well as for individuals who are caring for patients at home. Throughout, Zgola's emphasis is on treating persons who have Alzheimer's disease with empathy, courtesy, and dignity."," Medical , Geriatrics",Johns Hopkins University Press,5.29,June,1987
Scourge: The Once and Future Threat of Smallpox,"By Tucker, Jonathan B.","Smallpox is the only infectious disease to have been eradicated, but the virus still exists in laboratories. Following a 1992 revelation that the Soviet Union had secretly developed smallpox into a military weapon, officials around the globe expressed concern that samples of the virus could fall into the hands of ""rogue"" states and terrorist organizations. Since vaccination stopped in 1980, most of the world is now susceptible to infection. Tucker (Monterey Institute of International Studies) provides a history of the horrific disease and analyzes urgent efforts by the US and other countries to strengthen their medical defenses against it. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Medical , Diseases",Atlantic Monthly Pr,5.35,September,2001
Calculation of Drug Dosages,"By Ogden, Sheila J.","This popular dosage calculation work-text helps students master the critical skills necessary to competently and confidently calculate drug dosages. Innovative and practical, it includes information on the ratio and proportion, formula and dimensional analysis methods of drug calculation, and numerous practice problems to accompany these methods. Ideal for students who need an extensive math review in addition to drug calculations content, this new edition features a more logical organization, a new chapter addressing medication administration to critically ill patients, and more practice problems on calculations for pediatric patients.Learning objectives help students focus on key content as they read and study.Chapter worksheets provide students the opportunity to practice solving realistic problems.Posttests help students identify their areas of strengths and weaknesses.Full-color drug labels provide a more realistic representation of medication administration.A comprehensive posttest at the end of the book helps students assess their knowledge of the calculation of drug dosages.A comprehensive glossary defines important terms.A new chapter on Critical Care IV Flow Rates addresses medication administration to critically ill patients.Content has been reorganized to create a more logical flow for learning.Approximately 20 more practice problems have been added on calculations for pediatric patients."," Medical , Drug Guides",Mosby,8.79,February,2003
Medical Terminology Specialties: A Medical Specialties Approach with Patient Records,"By Gylys, Barbara A. and Masters, Regina M.","The renowned medical terminology experts Regina Masters and BarbaraGylys have created an exciting new learning package that approaches thestudy of medical terminology from a medical specialty point of view.Readers involved in a cardiovascular specialty, for example, learn termsas they relate to that specific area. This approach allows forimmediate application and solidifies the learning of medical terms as noother approach can. The learning package consists of a text, an audioCD to practice accurate pronunciation, and the popular Interactive Medical Terminology 2.0, a feature-filled CD-ROM!""I think this Medical Terminology Specialties book will be very valuable to my medical assisting students. Love the CDs and the fact I can combine with Taber's at a savings!"" -- Becky Theis, RN, Vanguard Adult Career Center, Fremont, Ohio""This book goes into great detail. The specialty letters are great. Good clinical pictures. I like the Body Systems Connection - very clever. Very correct to ID primary and second lesions (derm). Good to have prescribed drugs relating to systems/specialties."" -- Holly Bennett, RBN, Comprehensive Medical Office Assistant Program, Amador Valley Adult Education, Pleasanton, California""This book seems to cover much of my requirements needed for the students to complete or meet competencies. I love the puzzles and CD for extra learning."" -- Cindy McNeal, LVN, Medical Assisting Program, Poway Unified - ROP, Carlsbad, California""I particularly liked the inclusion of medical records for the coding students."" -- Eleanor Ayers, BS, MLS, Herzing College - Lakeland Academy, Minneapolis, MinnesotaWe recently discovered that Microsoft® made a correction to Windows ®Media Player 9.0, which could cause difficulty with the audio feedbackon Interactive Medical Terminology 2.0 (IMT). To overcome thischallenge, we designed a patch for you to download. Click here."," Medical , Dictionaries & Terminology",F.A. Davis Company,6.17,October,2002
Brain Power: A Neurosurgeon's Complete Program to Maintain and Enhance Brain Fitness Throughout Your Life,"By Mark, Vernon and Mark, Jeffrey P.","Preventative medicine for the brain--for the first time, a noted neurosurgeon shows how to take care of the vital organ that is the seat of the self. Here is little-known information on common causes of lessened brain power as well as new ways to improve function."," Medical , Preventive Medicine",Mariner Books,5.29,March,1991
"Disease Prevention and Treatment, 4th Edition",By Life Extension Foundation (EDT),"The public too often hears about a new life-saving therapy, only to be told that the treatment won't be available for many years. The Life Extension Foundation is proud to release the fourth edition of Disease Prevention and Treatment. This significantly expanded fourth edition provides 1,535 pages of concise information about therapies that are documented in the scientific literature, but are not routinely incorporated into clinical medical practice. Many of the recommendations in this latest edition of DiseasePrevention and Treatment provide inside information about what innovative physicians are doing to prevent and treat the degenerative diseases of aging. Disease Prevention and Treatment contains novel information that the general public and their doctors are largely unaware of. A few examples of the kind of unique information contained in this book include: ¢ A drug that is 92% effective in preventing the flu in people who have been exposed to influenza. ¢ A simple head positioning technique that resolves vertigo symptoms in 50% of cases. ¢ Proven methods to reduce prescription drug side effects while saving big dollars on your drug purchases. ¢ A nutrient that suppresses excess insulin production, resulting in reduced carbohydrate craving and subsequent body fat reduction. ¢ The devastating role that chronic inflammation plays in degenerative disease and novel methods of suppressing the inflammatory cascade. ¢ A simple blood test that predicts your risk of developing type II diabetes four years ahead of time. ¢ Hormone imbalances that cause mental depression and how you can correct these. ¢ FDA-approved drugs that fight cancer, but are over-looked by most oncologists. ¢ Novel methods to treat either constipation-or diarrhea type irritable bowel syndrome. ¢ Steps you can take right now to dramatically reduce stroke risk. ¢ Eight critical steps to controlling or curing cancer that are not routinely used in conventional oncology practice. ¢ The missing link that causes fibromyalgia patients to endure chronic pain. ¢ The most effective drug to alleviate the miseries of insomnia. ¢ Why anti-hypertensive drugs often fail to adequately control high blood pressure and how the dose can be adjusted to make them work better. ¢ The only therapy shown to slow the progression of Parkinson's disease (by 44%) over a 16-month study period. ¢ A nutritional protocol for autistic children that parents said doubled improvement in just eight weeks. ¢ A European drug that protects against glaucoma-induced optic nerve damage. ¢ A French drug that lowers infections associated with chronic bronchitis by 60% ¢ Precautions one should take when supplementing with DHEA. ¢ Safer estrogen replacement drugs to relieve menopausal miseries. ¢ An OTC drug that can knock out herpes outbreaks within 24 to 48 hours. This drug also shortens the duration of shingles (herpes zoster attacks). ¢ A superior method for treating acute heart attack (blocked coronary arteries) than currently used clot-dissolving therapies (such as tPA). ¢ Why hepatitis C treatment fails so often and a simple step that can be taken to circumvent this impediment. ¢ In-depth protocols to treat the leading types of cancer including prostate, breast and colon. ¢ A common hormone deficiency that contributes to age-associated mental impairment and congestive heart failure. The protocols discussed in this book are documented by thousands of published studies from internationally recognized scientific journals. Despite this bountiful evidence, the medical establishment largely ignores many of the therapies recommended in this book. The leading cause of death and disability today is ignorance about scientific approaches to prevent and treat degenerative disease. The novel information contained in Disease Prevention and Treatment could literally save your life. This hardbound book is fully indexed to enable the reader to quickly locate innovative solutions for 129 difficult-to-treat medical cconditions. This medical reference is a must have for any home library."," Medical , Preventive Medicine",Life Extension Foundation,8.99,June,2003
Mosby's Manual of Diagnostic and Laboratory Tests,"By Pagana, Kathleen Deska and Pagana, Timothy James","The highly successful first edition of MOSBY'S MANUAL OF LABORATORY AND DIAGNOSTIC TESTS received rave reviews for itsfull-color design and illustrations, user-friendly organization and format,comprehensiveness, and readability. THE MANUAL is a complete resource for nurses and other health professionals in either academic or clinical settings. It is the first and only full-color lab test book available and is liberally illustrated with color photos and drawings that show exactly how various tests are performed. Virtually every clinically significant test is covered, including the latest tests for allergy blood testing, atrial natriuretic factor, homocysteine, N-telopeptide, and troponins. Patient teaching priorities are now noted with a special icon, and a dozen additional Home Care Responsibilities boxes have been added to support the increasing emphasis on early discharge and outpatient testing."," Medical , Laboratory Medicine",Mosby,4.99,January,2002
Pet First Aid: Cats & Dogs,"By Mammato, Bobbie and Duckworth, Susie (ILT)","Including 150 black-and-white illustrations, an authoritative guide provides assistance and guidance to pet owners in the event of an emergency, covering such topics as CPR, choking, bleeding, trauma, poisoning, thermal emergencies, and wounds. Original. IP."," Medical , Veterinary Medicine , General",Mosby,5.29,April,1997
Primer on the Rheumatic Diseases,"By Arthritis Foundation, Weyand, Cornelia M. (EDT), Wortmann, Robert (EDT), and Klippel, John H. (EDT)","A comprehensive textbook for health-care professionsl and students covering the rheumatic diseases, including arthritis, lupus, osteoporosis, fibromyalgia and more."," Medical , Rheumatology",Longstreet Pr,10.99,April,1999
Text/Atlas of Histology,"By Lesson, C. Roland, Lesson, Thomas, and Paparo, Anthony","Combines textual discriptions of histology with telling micrographs usually found in companion atlases.  Lavishly illustrated with over 400 4-color illustrations, this text/atlas stresses the relationship of tissue structure to function.  Features chapter objectives and chapter summary tables of cell classifications and functions."," Medical , Histology",Saunders,7.3,February,1988
As Nature Made Him: The Boy Who Was Raised as a Girl,"By Colapinto, John","In  1967, after a twin baby boy suffered a botched circumcision, his family agreed to a radical treatment that would alter his gender.  The case would become one of the most famous in modern medicine -- and a total failure.  As Nature Made Him tells the extraordinary story of David Reimer, who, when finally informed of his medical history, made the decision to live as a male.  A macabre tale of medical arrogance, it is first and foremost a human drama of one man's -- and one family's -- amazing survival in the face of terrible odds."," Medical , Anatomy",Harper Perennial,5.29,February,2001
Professional Guide to Diseases,By Springhouse,"Professional Guide to Diseases, 7th Edition, is the newest edition of the health care professional's guide to disease management and patient care. This complete, yet concise, reference contains more than 600 disorders, including the latest developments on emerging diseases, such as West Nile encephalitis and antibiotic-resistant infections. The book's easy-to-use format presents comprehensive disease information ranging from causes, signs and symptoms, and diagnosis through treatment and special considerations. Helpful tips and charts, anatomic drawings, and other illustrations supplement the text."," Medical , Reference",Lippincott Williams & Wilkins,7.14,February,2001
Smart Medicine for Healthier Living : Practical A-Z Reference to Natural and Conventional Treatments for Adults,"By Zand, Janet, Spreen, Allan, and Lavalle, James B.","Written by a medical doctor, a naturopath, and a registered pharmacist, Smart Medicine for Healthier Living is a complete A-to-Z guide to the most common disorders and their treatments, using both alternative care and conventional medicine. Comprehensive and easy-to-follow, Smart Medicine for Healthier Living is divided into three parts. Part one explains the full spectrum of approaches used to effectively treat common health problems. It provides an overview of the history, fundamentals, and uses of conventional medicine, herbal medicine, homeopathy, acupressure, aromatherapy, diet, and nutritional supplements. It also includes a helpful section on home and personal safety. Part two contains a comprehensive A-to-Z listing of various health problems. Each entry clearly explains the problem and offers specific advice using a variety of approaches.  Part three provides step-by-step guidance on using the many therapies and procedures suggested for each health problem. Smart Medicine for Healthier Living is a reliable source that you and your family can turn to time and time again, whenever the need arises."," Medical , Holistic Medicine",Avery,7.88,June,1999
The Fibromyalgia Relief Book: 213 Ideas for Improving Your Quality of Life,"By Williamson, Miryam Ehrlich","The Fibromyalgia Relief Book is the first self-help book for the 12 million people who suffer from fibromyalgia (FM) and for those who care for them. Miryam Ehrlich Williamson, who wrote the best-selling Fibromyalgia: A Comprehensive Approach, has spent two years consulting health professionals and hundreds of fellow FM sufferers to assemble the most extensive and useful advice to improve your quality of life. Her 213 proven pointers cover all aspects of your life and include:* dietary changes and supplements to alleviate symptoms* remedies and modifications to help you sleep* how to make household and leisure activities bearable* tips for lifting your mood and strengthening personal relationships* strategies for making your job FM-friendly* how to develop mind/body techniques to control pain, relieve stress, and oversome memory lapsesThe Fibromyalgia Relief Book is the key to a more comfortable, rewarding lifestyle for anyone who has FM or the many illnesses associated with the syndrome, and is an important resource for anyone caring for or living with an FM sufferer. It is sure to change people's lives."," Medical , Diseases",Walker Books,5.29,October,1998
The Developing Human: Clinically Oriented Embryology,"By Moore, Keith L. and Persaud, T. V. N.","Here's the New Edition of the most comprehensive, up-to-date account of the normal and abnormal development of the embryo and fetus. Every chapter has been thoroughly revised to reflect new findings in research and their clinical applications. The 6th Edition now includes  full-color photographs, MR and ultrasound images, and all-new 3-D figures illustrating difficult concepts, and showing the effects of drugs and viruses on the fetus and how anomalies develop."," Medical , Embryology",Saunders,7.35,January,1998
Cancer Schmancer,"By Drescher, Fran","Starting where Enter Whining left off, the star of The Nanny reveals how she overcame many obstacles and challenges, including cancer, and shares the hilarious insights and wisdom she learned along the way. 125,000 first printing."," Medical , Oncology",Warner Books,5.29,May,2002
Your Eyes: Questions You Have ... Answers You Need,"By Salmans, Sandra","Answers questions on treatments for near- and farsightedness, preventing vision problems, treating glaucoma and cataracts, and more"," Medical , Ophthalmology",Peoples Medical Society,5.29,April,1996
"American Cancer Society's Informed Decisions: The Complete Book of Cancer Diagnosis, Treatment, and Recovery","By American Cancer Society (COR), Murphy, Gerald P. (EDT), Morris, Lois B. (EDT), and Lange, Dianne (EDT)","Covering everything from cancer causes and risks, screening and diagnostic tests, and treatment strategies to coping tips and quality of life issues, a comprehensive guide for anyone with cancer provides crucial resources to deal with their illness. 75,000 first printing. $100,000 ad/promo. Tour."," Medical , Oncology",Viking,6.71,April,1997
